field-0	field-1	field-2	field-3	field-4	field-5	field-6	field-7	field-8	field-9	field-10	field-11	field-12	field-13	field-14	field-15	field-16	field-17	field-18	field-19	field-20	field-21
-5843495416241995736	notional-0	phase0	2923	12136	4146	65	958	330	31817	212	902	175	1840	38924	12989	5040	52920	17640	4	42	14
-5843495416241995736	notional-0	phase4	132	352	87	0	40	30	1617	0	0	0	0	994	345	132	1386	462	4	42	14
-5843495416241995736	notional-0	phase3	480	1306	307	0	142	60	5880	0	0	0	0	3592	1313	480	5040	1680	4	42	14
-5843495416241995736	notional-0	phase5	192	618	174	0	0	0	2289	0	0	0	0	1398	498	192	2016	672	4	42	14
-5843495416241995736	notional-0	phase1	1633	7248	936	90	521	109	30178	0	0	0	1349	24487	9707	3072	32256	10752	4	42	14
-5843495416241995736	notional-0	phase2	0	1984	710	0	210	30	7657	593	1346	928	1571	19182	5906	2164	22722	7574	4	42	14
5694868678511409995	notional-0	phase0	2363	11705	3789	90	709	293	31817	102	438	333	1225	40068	13225	3780	52920	17640	3	42	14
5694868678511409995	notional-0	phase4	99	582	98	0	27	20	1617	0	0	0	0	777	344	99	1386	462	3	42	14
5694868678511409995	notional-0	phase3	360	1707	379	0	315	40	5880	0	0	0	0	3018	1261	360	5040	1680	3	42	14
5694868678511409995	notional-0	phase5	144	689	193	0	39	0	2289	0	0	0	0	1288	479	144	2016	672	3	42	14
5694868678511409995	notional-0	phase1	1339	6017	2391	86	440	185	30178	0	0	0	879	25799	8176	2304	32256	10752	3	42	14
5694868678511409995	notional-0	phase2	99	2361	720	0	180	90	7657	216	772	0	1308	19409	6764	1623	22722	7574	3	42	14
5111195811822994797	notional-0	phase0	1474	12157	3470	60	862	308	31817	38	599	533	948	39302	13329	2520	52920	17640	2	42	14
5111195811822994797	notional-0	phase4	66	430	123	0	45	0	1617	0	0	0	0	911	339	66	1386	462	2	42	14
5111195811822994797	notional-0	phase3	240	1519	526	0	132	60	5880	0	0	0	0	3389	1094	240	5040	1680	2	42	14
5111195811822994797	notional-0	phase5	96	709	288	0	50	0	2289	0	0	0	0	1257	384	96	2016	672	2	42	14
5111195811822994797	notional-0	phase1	994	5885	2923	60	456	253	30178	0	0	0	482	25915	7576	1536	32256	10752	2	42	14
5111195811822994797	notional-0	phase2	0	3237	240	0	270	30	7657	151	1355	0	931	17860	7304	1082	22722	7574	2	42	14
-5025562857975149833	notional-0	phase0	826	11971	3665	30	895	296	31817	71	709	131	333	39345	13548	1260	52920	17640	1	42	14
-5025562857975149833	notional-0	phase4	33	515	137	0	0	0	1617	0	0	0	0	871	325	33	1386	462	1	42	14
-5025562857975149833	notional-0	phase3	120	1904	520	0	191	65	5880	0	0	0	0	2945	1095	120	5040	1680	1	42	14
-5025562857975149833	notional-0	phase5	48	742	186	0	42	25	2289	0	0	0	0	1232	461	48	2016	672	1	42	14
-5025562857975149833	notional-0	phase1	363	5568	1862	0	421	177	30178	0	0	0	405	26267	8713	768	32256	10752	1	42	14
-5025562857975149833	notional-0	phase2	0	2434	615	0	158	60	7657	216	2698	495	325	17432	6404	541	22722	7574	1	42	14
-6169532649852302182	notional-0	phase0	0	11831	3835	0	934	398	31817	0	1242	423	0	38913	12984	0	52920	17640	0	42	14
-6169532649852302182	notional-0	phase4	0	418	57	0	12	0	1617	0	0	0	0	956	405	0	1386	462	0	42	14
-6169532649852302182	notional-0	phase3	0	1765	417	0	108	0	5880	0	0	0	0	3167	1263	0	5040	1680	0	42	14
-6169532649852302182	notional-0	phase5	0	782	331	0	40	0	2289	0	0	0	0	1194	341	0	2016	672	0	42	14
-6169532649852302182	notional-0	phase1	0	6624	2210	0	516	238	30178	0	0	0	0	25116	8304	0	32256	10752	0	42	14
-6169532649852302182	notional-0	phase2	0	2540	701	0	191	60	7657	0	2237	496	0	17754	6317	0	22722	7574	0	42	14
6802844026563419272	notional-1	phase0	810	2466	2793	30	180	197	13924	264	1507	1035	156	8447	7315	1260	12600	11340	1	10	9
6802844026563419272	notional-1	phase4	33	52	33	0	0	13	792	0	0	0	0	278	251	33	330	297	1	10	9
6802844026563419272	notional-1	phase3	120	264	43	0	0	30	2880	0	0	0	0	936	1007	120	1200	1080	1	10	9
6802844026563419272	notional-1	phase5	48	197	48	0	0	0	1131	0	0	0	0	283	384	48	480	432	1	10	9
6802844026563419272	notional-1	phase1	424	1066	280	30	143	30	11611	0	0	0	314	6471	6602	768	7680	6912	1	10	9
6802844026563419272	notional-1	phase2	0	380	398	0	0	30	1589	125	1109	1289	416	3921	3152	541	5410	4869	1	10	9
-1782466964123969572	notional-1	phase0	0	3083	1842	0	210	120	13924	0	957	1480	0	8350	7898	0	12600	11340	0	10	9
-1782466964123969572	notional-1	phase4	0	66	85	0	0	0	792	0	0	0	0	264	212	0	330	297	0	10	9
-1782466964123969572	notional-1	phase3	0	134	329	0	30	30	2880	0	0	0	0	1036	721	0	1200	1080	0	10	9
-1782466964123969572	notional-1	phase5	0	86	288	0	0	0	1131	0	0	0	0	394	144	0	480	432	0	10	9
-1782466964123969572	notional-1	phase1	0	345	1374	0	57	173	11611	0	0	0	0	7278	5365	0	7680	6912	0	10	9
-1782466964123969572	notional-1	phase2	0	501	167	0	30	0	1589	0	1631	485	0	3248	4217	0	5410	4869	0	10	9
-4004755535478349341	notional-2	phase0	5236	24693	240	210	1140	30	41776	434	447	0	2940	46800	990	8820	73080	1260	7	58	1
-4004755535478349341	notional-2	phase4	231	594	0	0	0	0	1287	0	0	0	0	1320	33	231	1914	33	7	58	1
-4004755535478349341	notional-2	phase3	840	2158	12	0	60	0	4680	0	0	0	0	4742	108	840	6960	120	7	58	1
-4004755535478349341	notional-2	phase5	336	832	48	0	30	0	1872	0	0	0	0	1922	0	336	2784	48	7	58	1
-4004755535478349341	notional-2	phase1	3675	16651	275	210	700	30	35436	0	11	0	1491	27182	463	5376	44544	768	7	58	1
-4004755535478349341	notional-2	phase2	138	4710	0	0	352	0	13411	216	284	0	3433	26032	541	3787	31378	541	7	58	1
8552898714322622292	notional-2	phase0	4699	24587	513	180	1151	30	41776	472	391	0	2209	46951	717	7560	73080	1260	6	58	1
8552898714322622292	notional-2	phase4	198	594	0	0	0	0	1287	0	0	0	0	1320	33	198	1914	33	6	58	1
8552898714322622292	notional-2	phase3	720	2154	0	0	30	0	4680	0	0	0	0	4776	120	720	6960	120	6	58	1
8552898714322622292	notional-2	phase5	288	800	0	0	60	0	1872	0	0	0	0	1924	48	288	2784	48	6	58	1
8552898714322622292	notional-2	phase1	3315	16760	335	150	699	30	35436	0	0	0	1143	27085	403	4608	44544	768	6	58	1
8552898714322622292	notional-2	phase2	643	5054	0	30	480	0	13411	198	1042	0	2375	24802	541	3246	31378	541	6	58	1
5086654115216342560	notional-2	phase0	3881	24276	319	120	1140	0	41776	154	116	0	2145	47548	941	6300	73080	1260	5	58	1
5086654115216342560	notional-2	phase4	165	528	16	0	0	17	1287	0	0	0	0	1386	0	165	1914	33	5	58	1
5086654115216342560	notional-2	phase3	600	2145	0	0	30	13	4680	0	0	0	0	4785	107	600	6960	120	5	58	1
5086654115216342560	notional-2	phase5	240	912	0	0	0	0	1872	0	0	0	0	1872	48	240	2784	48	5	58	1
5086654115216342560	notional-2	phase1	2267	18395	0	97	842	0	35436	40	32	0	1436	25275	768	3840	44544	768	5	58	1
5086654115216342560	notional-2	phase2	589	4508	0	30	340	0	13411	574	176	0	1512	26354	541	2705	31378	541	5	58	1
-1488139573943419793	notional-2	phase0	2868	25143	335	90	1320	30	41776	301	644	71	1781	45973	824	5040	73080	1260	4	58	1
-1488139573943419793	notional-2	phase4	132	594	0	0	0	0	1287	0	0	0	0	1320	33	132	1914	33	4	58	1
-1488139573943419793	notional-2	phase3	450	2080	0	30	30	0	4680	0	0	0	0	4850	120	480	6960	120	4	58	1
-1488139573943419793	notional-2	phase5	192	752	0	0	60	0	1872	0	0	0	0	1972	48	192	2784	48	4	58	1
-1488139573943419793	notional-2	phase1	2967	16644	0	90	690	0	35436	0	0	0	15	27210	768	3072	44544	768	4	58	1
-1488139573943419793	notional-2	phase2	223	4722	240	30	352	0	13411	0	220	0	1911	26084	301	2164	31378	541	4	58	1
8051837266862454915	notional-2	phase0	2409	25969	513	90	1320	30	41776	187	95	0	1094	45696	717	3780	73080	1260	3	58	1
8051837266862454915	notional-2	phase4	99	594	0	0	0	0	1287	0	0	0	0	1320	33	99	1914	33	3	58	1
8051837266862454915	notional-2	phase3	360	1994	0	0	60	0	4680	0	0	0	0	4906	120	360	6960	120	3	58	1
8051837266862454915	notional-2	phase5	144	736	0	0	30	0	1872	0	0	0	0	2018	48	144	2784	48	3	58	1
8051837266862454915	notional-2	phase1	1293	16748	335	90	729	3	35436	0	0	0	921	27067	430	2304	44544	768	3	58	1
8051837266862454915	notional-2	phase2	354	4110	0	0	410	0	13411	0	0	0	1269	26858	541	1623	31378	541	3	58	1
-4613416830416070574	notional-2	phase0	1646	25097	278	60	1290	0	41776	102	13	0	712	46680	982	2520	73080	1260	2	58	1
-4613416830416070574	notional-2	phase4	66	495	33	0	0	0	1287	0	0	0	0	1419	0	66	1914	33	2	58	1
-4613416830416070574	notional-2	phase3	240	1800	120	0	0	0	4680	0	0	0	0	5160	0	240	6960	120	2	58	1
-4613416830416070574	notional-2	phase5	96	720	48	0	0	0	1872	0	0	0	0	2064	0	96	2784	48	2	58	1
-4613416830416070574	notional-2	phase1	769	18240	129	30	756	30	35436	0	0	0	737	25548	609	1536	44544	768	2	58	1
-4613416830416070574	notional-2	phase2	234	5055	0	0	404	0	13411	125	192	0	723	25727	541	1082	31378	541	2	58	1
7130900098642117381	notional-2	phase0	818	25211	240	30	1290	30	41776	56	164	0	356	46415	990	1260	73080	1260	1	58	1
7130900098642117381	notional-2	phase4	33	495	10	0	0	0	1287	0	0	0	0	1419	23	33	1914	33	1	58	1
7130900098642117381	notional-2	phase3	120	1800	120	0	0	0	4680	0	0	0	0	5160	0	120	6960	120	1	58	1
7130900098642117381	notional-2	phase5	48	720	48	0	0	0	1872	0	0	0	0	2064	0	48	2784	48	1	58	1
7130900098642117381	notional-2	phase1	363	18934	157	0	861	30	35436	0	0	0	405	24749	581	768	44544	768	1	58	1
7130900098642117381	notional-2	phase2	216	3901	0	0	360	0	13411	0	0	0	325	27117	541	541	31378	541	1	58	1
3272055439932147596	notional-2	phase0	0	24268	415	0	1174	0	41776	0	387	0	0	47251	845	0	73080	1260	0	58	1
3272055439932147596	notional-2	phase4	0	495	33	0	0	0	1287	0	0	0	0	1419	0	0	1914	33	0	58	1
3272055439932147596	notional-2	phase3	0	2085	120	0	0	0	4680	0	0	0	0	4875	0	0	6960	120	0	58	1
3272055439932147596	notional-2	phase5	0	864	40	0	0	8	1872	0	0	0	0	1920	0	0	2784	48	0	58	1
3272055439932147596	notional-2	phase1	0	15278	0	0	618	22	35436	0	0	0	0	28648	746	0	44544	768	0	58	1
3272055439932147596	notional-2	phase2	0	6660	0	0	606	0	13411	0	372	0	0	23740	541	0	31378	541	0	58	1
3869528714570848026	notional-3	phase0	4031	2346	3280	0	94	206	18198	2067	1551	1232	3982	11129	11662	10080	15120	16380	8	12	13
3869528714570848026	notional-3	phase4	264	198	184	0	26	4	1155	0	0	0	0	172	241	264	396	429	8	12	13
3869528714570848026	notional-3	phase3	960	548	513	0	90	90	4200	0	0	0	0	802	957	960	1440	1560	8	12	13
3869528714570848026	notional-3	phase5	384	240	169	0	0	2	1617	0	0	0	0	336	453	384	576	624	8	12	13
3869528714570848026	notional-3	phase1	3466	688	449	123	128	83	21286	0	0	0	2555	8400	9452	6144	9216	9984	8	12	13
3869528714570848026	notional-3	phase2	404	183	494	0	0	30	3772	1369	820	1124	2555	5489	5385	4328	6492	7033	8	12	13
-7482923245497525943	notional-3	phase0	3609	3071	2713	0	147	186	18198	1546	757	1805	3665	11145	11676	8820	15120	16380	7	12	13
-7482923245497525943	notional-3	phase4	231	198	62	0	0	23	1155	0	0	0	0	198	344	231	396	429	7	12	13
-7482923245497525943	notional-3	phase3	840	371	456	0	120	7	4200	0	0	0	0	949	1097	840	1440	1560	7	12	13
-7482923245497525943	notional-3	phase5	336	55	265	0	30	0	1617	0	0	0	0	491	359	336	576	624	7	12	13
-7482923245497525943	notional-3	phase1	3417	325	1132	66	17	148	21286	0	0	0	1893	8874	8704	5376	9216	9984	7	12	13
-7482923245497525943	notional-3	phase2	666	390	191	0	30	0	3772	1277	969	1635	1844	5103	5207	3787	6492	7033	7	12	13
-3210362905434573697	notional-3	phase0	3015	2300	2942	0	120	240	18198	1361	1416	1478	3184	11284	11720	7560	15120	16380	6	12	13
-3210362905434573697	notional-3	phase4	198	212	99	0	5	0	1155	0	0	0	0	179	330	198	396	429	6	12	13
-3210362905434573697	notional-3	phase3	720	591	499	0	85	0	4200	0	0	0	0	764	1061	720	1440	1560	6	12	13
-3210362905434573697	notional-3	phase5	288	280	240	0	0	0	1617	0	0	0	0	296	384	288	576	624	6	12	13
-3210362905434573697	notional-3	phase1	3465	910	575	60	141	121	21286	0	0	0	1083	8165	9288	4608	9216	9984	6	12	13
-3210362905434573697	notional-3	phase2	928	240	435	0	30	0	3772	1037	142	2083	1281	6080	4515	3246	6492	7033	6	12	13
3176860285874836986	notional-3	phase0	2802	3022	3153	0	259	252	18198	1231	1583	1726	2267	10256	11249	6300	15120	16380	5	12	13
3176860285874836986	notional-3	phase4	165	59	95	0	11	18	1155	0	0	0	0	326	316	165	396	429	5	12	13
3176860285874836986	notional-3	phase3	600	312	379	0	0	0	4200	0	0	0	0	1128	1181	600	1440	1560	5	12	13
3176860285874836986	notional-3	phase5	240	144	192	0	0	0	1617	0	0	0	0	432	432	240	576	624	5	12	13
3176860285874836986	notional-3	phase1	2266	483	536	36	72	91	21286	0	0	0	1538	8661	9357	3840	9216	9984	5	12	13
3176860285874836986	notional-3	phase2	262	258	565	0	0	30	3772	974	1989	1772	1469	4245	4666	2705	6492	7033	5	12	13
-7610621359446545191	notional-3	phase0	2030	2767	3269	0	180	206	18198	1155	1341	1394	1855	10832	11511	5040	15120	16380	4	12	13
-7610621359446545191	notional-3	phase4	132	123	100	0	28	30	1155	0	0	0	0	245	299	132	396	429	4	12	13
-7610621359446545191	notional-3	phase3	480	443	340	0	62	30	4200	0	0	0	0	935	1190	480	1440	1560	4	12	13
-7610621359446545191	notional-3	phase5	192	192	123	0	0	24	1617	0	0	0	0	384	477	192	576	624	4	12	13
-7610621359446545191	notional-3	phase1	1890	768	523	33	109	80	21286	0	0	0	1149	8339	9381	3072	9216	9984	4	12	13
-7610621359446545191	notional-3	phase2	404	423	351	0	30	0	3772	719	876	1935	1041	5163	4747	2164	6492	7033	4	12	13
-4588066762141701118	notional-3	phase0	1507	2252	2889	0	150	180	18198	623	1507	1518	1650	11211	11793	3780	15120	16380	3	12	13
-4588066762141701118	notional-3	phase4	99	165	181	0	0	3	1155	0	0	0	0	231	245	99	396	429	3	12	13
-4588066762141701118	notional-3	phase3	360	650	626	0	30	64	4200	0	0	0	0	760	870	360	1440	1560	3	12	13
-4588066762141701118	notional-3	phase5	144	288	202	0	0	40	1617	0	0	0	0	288	382	144	576	624	3	12	13
-4588066762141701118	notional-3	phase1	1161	698	697	60	147	113	21286	0	0	0	1083	8371	9174	2304	9216	9984	3	12	13
-4588066762141701118	notional-3	phase2	0	530	378	0	35	0	3772	516	911	1356	1107	5016	5299	1623	6492	7033	3	12	13
-7912908803613548926	notional-3	phase0	1030	3368	2804	0	270	180	18198	669	674	1657	821	10808	11739	2520	15120	16380	2	12	13
-7912908803613548926	notional-3	phase4	66	118	169	0	0	0	1155	0	0	0	0	278	260	66	396	429	2	12	13
-7912908803613548926	notional-3	phase3	240	402	594	0	30	60	4200	0	0	0	0	1008	906	240	1440	1560	2	12	13
-7912908803613548926	notional-3	phase5	96	144	167	0	0	14	1617	0	0	0	0	432	443	96	576	624	2	12	13
-7912908803613548926	notional-3	phase1	723	228	654	3	60	74	21286	0	0	0	810	8928	9256	1536	9216	9984	2	12	13
-7912908803613548926	notional-3	phase2	0	404	515	0	30	5	3772	432	1722	1409	650	4336	5104	1082	6492	7033	2	12	13
-7747173299880867347	notional-3	phase0	484	3195	3615	0	216	270	18198	143	1425	1291	633	10284	11204	1260	15120	16380	1	12	13
-7747173299880867347	notional-3	phase4	33	114	106	0	24	12	1155	0	0	0	0	258	311	33	396	429	1	12	13
-7747173299880867347	notional-3	phase3	120	365	296	0	60	48	4200	0	0	0	0	1015	1216	120	1440	1560	1	12	13
-7747173299880867347	notional-3	phase5	48	96	144	0	0	0	1617	0	0	0	0	480	480	48	576	624	1	12	13
-7747173299880867347	notional-3	phase1	768	283	434	0	27	83	21286	0	0	0	0	8906	9467	768	9216	9984	1	12	13
-7747173299880867347	notional-3	phase2	262	350	647	0	0	30	3772	192	1814	1903	87	4328	4453	541	6492	7033	1	12	13
-4565385657661118002	notional-3	phase0	0	2457	3655	0	152	308	18198	0	1383	659	0	11128	11758	0	15120	16380	0	12	13
-4565385657661118002	notional-3	phase4	0	99	52	0	28	0	1155	0	0	0	0	269	377	0	396	429	0	12	13
-4565385657661118002	notional-3	phase3	0	425	348	0	36	0	4200	0	0	0	0	979	1212	0	1440	1560	0	12	13
-4565385657661118002	notional-3	phase5	0	154	144	0	24	0	1617	0	0	0	0	398	480	0	576	624	0	12	13
-4565385657661118002	notional-3	phase1	0	885	429	0	96	83	21286	0	0	0	0	8235	9472	0	9216	9984	0	12	13
-4565385657661118002	notional-3	phase2	0	295	694	0	5	30	3772	0	970	2128	0	5222	4181	0	6492	7033	0	12	13
579564241196435126	notional-4	phase0	539	0	0	0	0	0	1539	351	0	0	370	0	0	1260	0	0	1	0	0
579564241196435126	notional-4	phase4	33	0	0	0	0	0	99	0	0	0	0	0	0	33	0	0	1	0	0
579564241196435126	notional-4	phase3	120	0	0	0	0	0	360	0	0	0	0	0	0	120	0	0	1	0	0
579564241196435126	notional-4	phase5	48	0	0	0	0	0	144	0	0	0	0	0	0	48	0	0	1	0	0
579564241196435126	notional-4	phase1	360	0	0	3	0	0	1649	0	0	0	405	0	0	768	0	0	1	0	0
579564241196435126	notional-4	phase2	0	0	0	0	0	0	262	0	0	0	263	0	0	263	0	0	1	0	0
-3361053196040192472	notional-5	phase0	0	402	6014	0	30	453	17077	0	294	454	0	1794	18279	0	2520	25200	0	2	20
-3361053196040192472	notional-5	phase4	0	33	137	0	0	6	924	0	0	0	0	33	517	0	66	660	0	2	20
-3361053196040192472	notional-5	phase3	0	120	466	0	0	67	3360	0	0	0	0	120	1867	0	240	2400	0	2	20
-3361053196040192472	notional-5	phase5	0	48	152	0	0	23	1260	0	0	0	0	48	785	0	96	960	0	2	20
-3361053196040192472	notional-5	phase1	0	67	1251	0	8	105	13204	0	0	0	0	1461	14004	0	1536	15360	0	2	20
-3361053196040192472	notional-5	phase2	0	225	1431	0	0	111	2462	0	140	1678	0	717	7600	0	1082	10820	0	2	20
-478957009993612106	notional-6	phase0	500	0	3432	0	0	300	10084	404	0	1472	356	0	13696	1260	0	18900	1	0	15
-478957009993612106	notional-6	phase4	33	0	190	0	0	0	594	0	0	0	0	0	305	33	0	495	1	0	15
-478957009993612106	notional-6	phase3	120	0	833	0	0	45	2160	0	0	0	0	0	922	120	0	1800	1	0	15
-478957009993612106	notional-6	phase5	48	0	296	0	0	34	780	0	0	0	0	0	390	48	0	720	1	0	15
-478957009993612106	notional-6	phase1	363	0	1714	0	0	221	9568	0	0	0	405	0	9585	768	0	11520	1	0	15
-478957009993612106	notional-6	phase2	142	0	647	0	0	60	2392	74	0	183	325	0	7225	541	0	8115	1	0	15
7704975138223047541	notional-6	phase0	0	0	3820	0	0	360	10084	0	0	1185	0	0	13535	0	0	18900	0	0	15
7704975138223047541	notional-6	phase4	0	0	71	0	0	0	594	0	0	0	0	0	424	0	0	495	0	0	15
7704975138223047541	notional-6	phase3	0	0	354	0	0	30	2160	0	0	0	0	0	1416	0	0	1800	0	0	15
7704975138223047541	notional-6	phase5	0	0	265	0	0	0	780	0	0	0	0	0	455	0	0	720	0	0	15
7704975138223047541	notional-6	phase1	0	0	1799	0	0	210	9568	0	0	0	0	0	9511	0	0	11520	0	0	15
7704975138223047541	notional-6	phase2	0	0	996	0	0	90	2392	0	0	261	0	0	6768	0	0	8115	0	0	15
8865034956231574663	notional-7	phase0	874	562	0	30	30	0	3022	0	0	0	356	1928	0	1260	2520	0	1	2	0
8865034956231574663	notional-7	phase4	33	32	0	0	20	0	99	0	0	0	0	14	0	33	66	0	1	2	0
8865034956231574663	notional-7	phase3	120	120	0	0	10	0	360	0	0	0	0	110	0	120	240	0	1	2	0
8865034956231574663	notional-7	phase5	48	48	0	0	0	0	144	0	0	0	0	48	0	48	96	0	1	2	0
8865034956231574663	notional-7	phase1	360	148	0	3	30	0	1649	0	0	0	405	1358	0	768	1536	0	1	2	0
8865034956231574663	notional-7	phase2	0	0	0	0	0	0	262	0	0	0	263	526	0	263	526	0	1	2	0
-5286721520629762393	notional-7	phase0	0	670	0	0	60	0	3022	0	0	0	0	1790	0	0	2520	0	0	2	0
-5286721520629762393	notional-7	phase4	0	0	0	0	0	0	99	0	0	0	0	66	0	0	66	0	0	2	0
-5286721520629762393	notional-7	phase3	0	0	0	0	0	0	360	0	0	0	0	240	0	0	240	0	0	2	0
-5286721520629762393	notional-7	phase5	0	0	0	0	0	0	144	0	0	0	0	96	0	0	96	0	0	2	0
-5286721520629762393	notional-7	phase1	0	0	0	0	0	0	1649	0	0	0	0	1536	0	0	1536	0	0	2	0
-5286721520629762393	notional-7	phase2	0	103	0	0	0	0	262	0	105	0	0	318	0	0	526	0	0	2	0
5380112710085299282	notional-8	phase0	444	0	7446	0	0	477	9209	404	0	3705	412	0	27432	1260	0	39060	1	0	31
5380112710085299282	notional-8	phase4	33	0	316	0	0	34	528	0	0	0	0	0	673	33	0	1023	1	0	31
5380112710085299282	notional-8	phase3	120	0	1164	0	0	90	1920	0	0	0	0	0	2466	120	0	3720	1	0	31
5380112710085299282	notional-8	phase5	48	0	527	0	0	38	747	0	0	0	0	0	923	48	0	1488	1	0	31
5380112710085299282	notional-8	phase1	768	0	1983	0	0	340	10467	0	0	0	0	0	21485	768	0	23808	1	0	31
5380112710085299282	notional-8	phase2	262	0	622	0	0	60	1738	192	0	2747	87	0	13342	541	0	16771	1	0	31
-924917377818437675	notional-8	phase0	0	0	7018	0	0	400	9209	0	0	3064	0	0	28578	0	0	39060	0	0	31
-924917377818437675	notional-8	phase4	0	0	467	0	0	32	528	0	0	0	0	0	524	0	0	1023	0	0	31
-924917377818437675	notional-8	phase3	0	0	1518	0	0	117	1920	0	0	0	0	0	2085	0	0	3720	0	0	31
-924917377818437675	notional-8	phase5	0	0	525	0	0	57	747	0	0	0	0	0	906	0	0	1488	0	0	31
-924917377818437675	notional-8	phase1	0	0	2243	0	0	347	10467	0	0	0	0	0	21218	0	0	23808	0	0	31
-924917377818437675	notional-8	phase2	0	0	105	0	0	0	1738	0	0	2397	0	0	14269	0	0	16771	0	0	31
-3311341186503823761	notional-9	phase0	491	0	0	0	0	0	1395	338	0	0	431	0	0	1260	0	0	1	0	0
-3311341186503823761	notional-9	phase4	33	0	0	0	0	0	99	0	0	0	0	0	0	33	0	0	1	0	0
-3311341186503823761	notional-9	phase3	120	0	0	0	0	0	360	0	0	0	0	0	0	120	0	0	1	0	0
-3311341186503823761	notional-9	phase5	48	0	0	0	0	0	144	0	0	0	0	0	0	48	0	0	1	0	0
-3311341186503823761	notional-9	phase1	363	0	0	0	0	0	1649	0	0	0	405	0	0	768	0	0	1	0	0
-3311341186503823761	notional-9	phase2	0	0	0	0	0	0	262	0	0	0	263	0	0	263	0	0	1	0	0
6809089882916169883	notional-10	phase0	0	0	524	0	0	30	1395	0	0	0	0	0	1966	0	0	2520	0	0	2
6809089882916169883	notional-10	phase4	0	0	33	0	0	0	99	0	0	0	0	0	33	0	0	66	0	0	2
6809089882916169883	notional-10	phase3	0	0	113	0	0	7	360	0	0	0	0	0	120	0	0	240	0	0	2
6809089882916169883	notional-10	phase5	0	0	0	0	0	23	144	0	0	0	0	0	73	0	0	96	0	0	2
6809089882916169883	notional-10	phase1	0	0	0	0	0	0	1649	0	0	0	0	0	1536	0	0	1536	0	0	2
6809089882916169883	notional-10	phase2	0	0	0	0	0	0	262	0	0	0	0	0	526	0	0	526	0	0	2
6645529480803663035	notional-11	phase0	0	890	0	0	60	0	1395	0	359	342	0	2471	918	0	3780	1260	0	3	1
6645529480803663035	notional-11	phase4	0	33	31	0	0	0	99	0	0	0	0	66	2	0	99	33	0	3	1
6645529480803663035	notional-11	phase3	0	82	120	0	30	0	360	0	0	0	0	248	0	0	360	120	0	3	1
6645529480803663035	notional-11	phase5	0	0	48	0	0	0	144	0	0	0	0	144	0	0	144	48	0	3	1
6645529480803663035	notional-11	phase1	0	0	136	0	0	30	1649	0	0	0	0	2304	602	0	2304	768	0	3	1
6645529480803663035	notional-11	phase2	0	7	0	0	0	0	262	0	1	0	0	781	263	0	789	263	0	3	1
8719562077786624187	notional-12	phase0	1015	720	0	0	60	0	6157	683	461	0	822	2539	0	2520	3780	0	2	3	0
8719562077786624187	notional-12	phase4	66	33	0	0	0	0	429	0	0	0	0	66	0	66	99	0	2	3	0
8719562077786624187	notional-12	phase3	240	120	0	0	0	0	1560	0	0	0	0	240	0	240	360	0	2	3	0
8719562077786624187	notional-12	phase5	96	48	0	0	0	0	582	0	0	0	0	96	0	96	144	0	2	3	0
8719562077786624187	notional-12	phase1	1128	84	0	3	30	0	6043	0	0	0	405	2190	0	1536	2304	0	2	3	0
8719562077786624187	notional-12	phase2	262	0	0	0	0	0	1048	1	0	0	263	789	0	526	789	0	2	3	0
8436011436776032633	notional-12	phase0	483	794	0	0	37	0	6157	421	89	0	356	2860	0	1260	3780	0	1	3	0
8436011436776032633	notional-12	phase4	33	33	0	0	23	0	429	0	0	0	0	43	0	33	99	0	1	3	0
8436011436776032633	notional-12	phase3	120	120	0	0	0	0	1560	0	0	0	0	240	0	120	360	0	1	3	0
8436011436776032633	notional-12	phase5	48	48	0	0	0	0	582	0	0	0	0	96	0	48	144	0	1	3	0
8436011436776032633	notional-12	phase1	363	10	0	0	30	0	6043	0	0	0	405	2264	0	768	2304	0	1	3	0
8436011436776032633	notional-12	phase2	0	103	0	0	0	0	1048	0	1	0	263	685	0	263	789	0	1	3	0
8018081796930885386	notional-12	phase0	0	860	0	0	30	0	6157	0	0	0	0	2890	0	0	3780	0	0	3	0
8018081796930885386	notional-12	phase4	0	35	0	0	30	0	429	0	0	0	0	34	0	0	99	0	0	3	0
8018081796930885386	notional-12	phase3	0	110	0	0	10	0	1560	0	0	0	0	240	0	0	360	0	0	3	0
8018081796930885386	notional-12	phase5	0	0	0	0	20	0	582	0	0	0	0	124	0	0	144	0	0	3	0
8018081796930885386	notional-12	phase1	0	0	0	0	0	0	6043	0	0	0	0	2304	0	0	2304	0	0	3	0
8018081796930885386	notional-12	phase2	0	11	0	0	0	0	1048	0	1	0	0	777	0	0	789	0	0	3	0
8651938460229599588	notional-13	phase0	0	89	131	0	0	0	1395	0	159	76	0	1012	1053	0	1260	1260	0	1	1
8651938460229599588	notional-13	phase4	0	33	33	0	0	0	99	0	0	0	0	0	0	0	33	33	0	1	1
8651938460229599588	notional-13	phase3	0	120	120	0	0	0	360	0	0	0	0	0	0	0	120	120	0	1	1
8651938460229599588	notional-13	phase5	0	48	48	0	0	0	144	0	0	0	0	0	0	0	48	48	0	1	1
8651938460229599588	notional-13	phase1	0	45	3	0	30	30	1649	0	0	0	0	693	735	0	768	768	0	1	1
8651938460229599588	notional-13	phase2	0	0	0	0	0	0	262	0	0	0	0	263	263	0	263	263	0	1	1
